eth_src,eth_dst,eth_type,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,ip_src,ip_dst,udp_sport,udp_dport,udp_len,udp_chksum,timestamp,length,summary,payload,payload_raw
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,961,1,,0,64,17,21222,10.1.10.53,84.54.22.33,53,53,941,62990,1532199330.917674,975,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,905,efbfbd504e470d0a1a0a0000000d4948445200000162000000efbfbd080600000028efbfbd545200003aefbfbd4944415478efbfbdefbfbd097c54efbfbdefbfbdefbfbdefbfbdefbfbd3b4b12083b08efbfbd0a45efbfbdefbfbd2419efbfbdefbfbd5a69dfaa2defbfbd3b4e32efbfbdefbfbd56efbfbd56efbfbd61efbfbd5a1121efbfbdefbfbd01dcbb696b5befbfbd2e6f6befbfbd65efbfbd015cefbfbdefbfbd5defbfbd2defbfbdefbfbdefbfbd64efbfbd08efbfbd08efbfbdefbfbd67efbfbdefbfbdefbfbd3cefbfbdefbfbd4c12efbfbd24337766efbfbdefbfbd023c5f0defbfbd59efbfbd72efbfbdefbfbd79efbfbdefbfbdefbfbd1c0d18efbfbd3863efbfbd65770d1eefbfbdefbfbdefbfbdefbfbd13efbfbd69614befbfbdefbfbdefbfbdefbfbd757dc5b277efbfbd64efbfbdefbfbd15efbfbd2260063a13efbfbd0befbfbd0c16efbfbd12efbfbd26efbfbd39c690efbfbd00efbfbdefbfbdefbfbd081131d28c5148502aefbfbd40044f34efbfbdefbfbdefbfbd373c79efbfbd0e2e39efbfbdefbfbdefbfbd61324061efbfbdefbfbd2622efbfbd1311efbfbd63efbfbd6b4fefbfbd7340efbfbd39efbfbd69efbfbd3458efbfbd78efbfbd4befbfbd612166efbfbdefbfbd3077efbfbdefbfbd3364781d22efbfbdefbfbdefbfbd4328efbfbd7defbfbd307c71efbfbd2aefbfbdefbfbd0befbfbd612166efbfbd34efbfbdefbfbd2eefbfbd734b6710115d3d394ed48206efbfbdefbfbd75efbfbdefbfbdefbfbd4b5fefbfbd65062aefbfbdefbfbdefbfbd195078efbfbdefbfbd25efbfbdefbfbd03efbfbd33efbfbdefbfbd1e22453f0fefbfbdefbfbdefbfbd2b48efbfbd5d51efbfbd6befbfbdefbfbdefbfbdefbfbd38efbfbd22efbfbd1d113476efbfbd3210efbfbdefbfbdefbfbde592afccb87cefbfbd782e5cefbfbd2d62efbfbd49efbfbd42efbfbdefbfbdefbfbd40efbfbd4cefbfbdefbfbd434a5d585751efbfbdefbfbdefbfbdefbfbd7551efbfbd6b51137fefbfbd4eefbfbd3100efbfbdefbfbdefbfbd3217efbfbd303310efbfbd5c04efbfbd4021efbfbd48efbfbd424a7147272befbfbd52efbfbd555c5befbfbdefbfbdefbfbdefbfbd4758433befbfbdefbfbdd48eefbfbd71efbfbd2104efbfbd72efbfbd733defbfbd0272d4b40befbfbdefbfbdefbfbd5f53efbfbd25efbfbd7068efbfbd6112590502efbfbdefbfbdefbfbdefbfbd63efbfbdefbfbdefbfbd50efbfbd39efbfbd
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,58919,,0,122,17,13836,84.54.22.33,10.1.10.53,53,53,64,65061,1532199330.950107,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,975,1,,0,64,17,21208,10.1.10.53,84.54.22.33,53,53,955,36378,1532199331.937777,989,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,919,3aefbfbd6c653ac7a9efbfbdefbfbdefbfbd0cefbfbdefbfbdefbfbd3a7c11efbfbd58efbfbdefbfbd712e65efbfbdefbfbdefbfbd611230efbfbd4a7d340a3924767aefbfbd52efbfbd754f2fefbfbdefbfbd3bc7ab5defbfbdefbfbd4d22efbfbd7254d3a3483169efbfbdefbfbdcba5cdb010334c3c6befbfbd015f07521d2cefbfbdefbfbd46efbfbdefbfbde498a1305d1eefbfbdefbfbdefbfbd1e5359efbfbdefbfbd0b0f7169332cefbfbd0c130744efbfbdefbfbdefbfbd0befbfbdefbfbd19637b4fefbfbdefbfbd6eefbfbd514befbfbd0aefbfbd5aefbfbd007029efbfbd3633efbfbdefbfbd5c13272defbfbdefbfbd550c7912efbfbd631135efbfbd56efbfbd00efbfbdeaafab21efbfbd291defbfbdefbfbd107defbfbdefbfbdefbfbd2a051552efbfbdefbfbd47efbfbd58efbfbdefbfbdefbfbd59efbfbd532eefbfbd6b7076efbfbdefbfbd08481e38efbfbd107aefbfbdefbfbd7fefbfbd6defbfbd61213e09efbfbd2fefbfbd2fefbfbd02efbfbd461402efbfbd400042efbfbdefbfbd5eefbfbdefbfbdefbfbd79efbfbdefbfbd101d2eefbfbdefbfbdefbfbd311d06d895114b1befbfbdefbfbdefbfbdefbfbd62efbfbdefbfbdefbfbd3befbfbdefbfbd08efbfbdefbfbd3d4eefbfbdefbfbd203727276b1f02efbfbdefbfbd750c19efbfbd02efbfbd4fefbfbdefbfbdefbfbd61efbfbd5c16641662efbfbd2461efbfbd15efbfbd4664efbfbdefbfbdefbfbd16efbfbd335aefbfbdefbfbd1e132821c4b9efbfbdefbfbdefbfbd576a03efbfbd5f533d5eefbfbd573fefbfbd25efbfbdefbfbd00efbfbd52efbfbdefbfbd4b2010efbfbdefbfbd7b6d563814423cefbfbdefbfbdefbfbd2c783d2316efbfbd69efbfbd25644cefbfbdefbfbdefbfbdefbfbd08efbfbdefbfbd3d6befbfbdefbfbd5defbfbdefbfbdefbfbdc696efbfbdefbfbd0d4fefbfbdefbfbd49efbfbdefbfbdefbfbd1d32efbfbd35681defbfbddaae25ea808cefbfbd1defbfbdefbfbdefbfbd29efbfbd5f0f5618efbfbd722b3d39efbfbd18efbfbd4944efbfbdefbfbdefbfbd3a024cefbfbd63efbfbdefbfbd0eefbfbdefbfbd52efbfbd371d63efbfbd2defbfbd5d44efbfbd5d087177efbfbdefbfbdefbfbd70efbfbd647defbfbd4d282323efbfbddabf7bcba24cefbfbd73efbfbd27efbfbd32011c155e4befbfbd3b7b72efbfbd513277efbfbd10703b0aefbfbd5eefbfbdefbfbdefbfbd7e7aefbfbdefbfbd50762eefbfbdefbfbdefbfbd00057eefbfbdefbfbd
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,59493,,0,122,17,13262,84.54.22.33,10.1.10.53,53,53,64,65063,1532199331.956635,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1012,1,,0,64,17,21171,10.1.10.53,84.54.22.33,53,53,992,63846,1532199332.960504,1026,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,956,efbfbdefbfbd5e6eefbfbd2727efbfbdefbfbdefbfbd24efbfbdefbfbdefbfbdefbfbdefbfbd52efbfbdefbfbdefbfbd17efbfbd3e45706f75efbfbdefbfbd24efbfbdefbfbd4defbfbdefbfbd1cefbfbdefbfbd0eefbfbd74420defbfbdd4ba67efbfbd6defbfbdefbfbd3e3877e884aaefbfbdefbfbd35efbfbdefbfbdefbfbd3cefbfbd3eefbfbd19efbfbdefbfbd6c0e3c70efbfbdefbfbdc798efbfbdefbfbdefbfbd7738efbfbdefbfbd40d4aeefbfbd6059efbfbdefbfbd15efbfbd6f52efbfbd48efbfbdefbfbd6844efbfbd28efbfbd3befbfbd382a7e6f146059efbfbd6defbfbd15efbfbd3fefbfbd16cba109efbfbd04444aefbfbd315044efbfbd14334fefbfbd16555518efbfbd77efbfbd782e0543efbfbdefbfbd48efbfbd74efbfbdefbfbd1a373defbfbde8a18811efbfbd1befbfbd5f1f303665efbfbd301defbfbd5f50341372efbfbd392c36efbfbd180d63efbfbd06efbfbd45efbfbd3cefbfbd53c2a1efbfbdefbfbd08c38f1e4e592404efbfbd080058efbfbd3934efbfbdefbfbd70d6b0efbfbdefbfbdefbfbdefbfbd15172bc2a6efbfbdefbfbdefbfbd30efbfbd530c55efbfbd6aefbfbd7b417fefbfbd08227aefbfbd43efbfbd0250efbfbd7b17efbfbdefbfbd65efbfbd163173efbfbdefbfbd02efbfbdefbfbdefbfbdefbfbdefbfbdefbfbd60efbfbdefbfbdefbfbd07c2b54defbfbd70efbfbdefbfbd61efbfbd53efbfbdefbfbd3befbfbd200410dab069efbfbd070321697c53c8bc28efbfbdefbfbdefbfbdefbfbd1eefbfbdefbfbd680218793e005470efbfbd6521664e2825efbfbdefbfbd1d7fefbfbd7477efbfbdefbfbdefbfbd72ce98efbfbdefbfbd47efbfbdefbfbdefbfbd49efbfbdefbfbd35efbfbdefbfbd25efbfbdefbfbdefbfbdefbfbd4e003867efbfbd19604dd6b7efbfbd267c2befbfbdefbfbd22efbfbdefbfbdefbfbdefbfbdefbfbdefbfbd39efbfbd7203d1b1092728efbfbdefbfbd71efbfbd103327efbfbd0e13efbfbd40792cefbfbdefbfbd7b52efbfbd06efbfbd00efbfbd0144efbfbdefbfbdefbfbd314a09efbfbdefbfbd1fefbfbd3b347cefbfbdefbfbdefbfbd0f7eefbfbd034ed9baefbfbd68efbfbdefbfbdeb90ae5cefbfbd16efbfbd70efbfbdefbfbdefbfbd3befbfbd49efbfbd5defbfbd00e880b853efbfbdefbfbd78efbfbd6a3b3f220e197e0aefbfbdc5b3efbfbd181662e684a7504cefbfbdefbfbd40efbfbd1aefbfbd1d41efbfbdefbfbd42efbfbdefbfbd36efbfbd12efbfbd1f7068efbfbdefbfbd16efbfbdefbfbdefbfbdefbfbd73efbfbd504176efbfbdefbfbd4fefbfbd
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,59660,,0,122,17,13095,84.54.22.33,10.1.10.53,53,53,64,65064,1532199332.971509,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,998,1,,0,64,17,21185,10.1.10.53,84.54.22.33,53,53,978,65315,1532199333.982248,1012,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,942,e48e91426a5fefbfbd610defbfbdefbfbdefbfbd04efbfbdefbfbd10444aefbfbdefbfbd14efbfbd12efbfbdefbfbd42efbfbd051d420d26efbfbd40efbfbdd69e09efbfbd44efbfbd6f01efbfbd6763efbfbd72efbfbdefbfbd31efbfbd1220efbfbd0a41041aefbfbd61efbfbd3446efbfbd47efbfbdefbfbdefbfbdefbfbdefbfbd1033efbfbdefbfbdefbfbd4befbfbdefbfbdefbfbd261c5defbfbd10efbfbdefbfbd0c3703445defbfbd2eefbfbdefbfbd0cefbfbd01747828efbfbd60efbfbdefbfbdefbfbdefbfbd595defbfbdefbfbdefbfbd2d6befbfbd712d027510efbfbd60404f77efbfbdefbfbd1f0befbfbd2d3e573a1defbfbdefbfbde8aa9879efbfbdefbfbdefbfbdefbfbd56efbfbdefbfbd71efbfbd6609efbfbdefbfbdefbfbd3eefbfbdefbfbd0e7cefbfbd5b03c3a109efbfbd5f683eefbfbdefbfbd40efbfbd2a0aefbfbd57efbfbd755aefbfbdefbfbdefbfbdefbfbdc9bcefbfbdefbfbdd5b8efbfbd3fefbfbd7aefbfbdefbfbdefbfbd08efbfbd21efbfbd3529687aefbfbdefbfbd4e2defbfbd67efbfbd40efbfbdefbfbd36efbfbd2d3b6aefbfbd35306c1133efbfbdc2a6efbfbd1f6defbfbdefbfbdefbfbdefbfbd10efbfbd2eefbfbd52efbfbd74efbfbd7cefbfbd5fefbfbdefbfbd0876efbfbd58efbfbd0444133aefbfbd18efbfbd6aefbfbdcfb4efbfbdefbfbdefbfbd1478101072efbfbd5a2642efbfbd5eefbfbd2befbfbdefbfbd2924311eefbfbd1815efbfbdefbfbdefbfbd50efbfbd65efbfbd7f3910efbfbd22332cefbfbdefbfbd49efbfbdefbfbd10efbfbd38efbfbd45efbfbd231cdba413283a536e1c22efbfbdefbfbd51efbfbdefbfbd663e42efbfbd23efbfbdefbfbdefbfbdefbfbdefbfbd57efbfbd0813efbfbd6a51efbfbdefbfbd5b01c3a109efbfbd5f796fefbfbdefbfbd39efbfbdefbfbdefbfbd6d226c44efbfbd29efbfbd2eefbfbd0f18efbfbdefbfbd15302cefbfbd4cefbfbd53efbfbdefbfbdefbfbdcda64973efbfbdefbfbd3c3944efbfbdefbfbd21081556efbfbd2c7fefbfbd6befbfbdefbfbd141cefbfbd607a4cefbfbd1261efbfbd2cef92af48216f41efbfbd5301685027efbfbd7e4cefbfbd42efbfbd01efbfbdefbfbdefbfbdefbfbdefbfbdefbfbdefbfbd6befbfbd23efbfbd1956efbfbd585defbfbdefbfbd12efbfbd38efbfbd42efbfbd0c60415e1611efbfbd791b3cefbfbdefbfbd771061efbfbd40efbfbd0705efbfbd54efbfbd0aefbfbd5aefbfbd4defbfbd2fefbfbdefbfbd04efbfbd300c0b31efbfbd300c0b31efbfbd300cd38f70
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,60495,,0,122,17,12260,84.54.22.33,10.1.10.53,53,53,64,65065,1532199333.993114,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1003,1,,0,64,17,21180,10.1.10.53,84.54.22.33,53,53,983,38088,1532199335.003376,1017,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,947,efbfbdefbfbdefbfbdcbb4efbfbd16efbfbdefbfbd726aefbfbd4742574fefbfbdefbfbd18dda269efbfbdefbfbd30efbfbd1801efbfbdefbfbdefbfbdefbfbdefbfbd136522331c590d0d50efbfbdefbfbdefbfbd5e6e510c0b31efbfbd16132f5c382427cbbdefbfbdefbfbdefbfbd21efbfbd3c7eefbfbd4b22efbfbd6400efbfbdefbfbd19efbfbdefbfbdefbfbdefbfbd62efbfbdefbfbdefbfbdefbfbd091befbfbd36efbfbd70efbfbd6212efbfbdefbfbd09efbfbd0b43efbfbdefbfbd174545efbfbdc98051efbfbd20efbfbd0d4f7241302cefbfbd4c5a28125befbfbd1432efbfbd762e02efbfbdefbfbdefbfbd49efbfbdefbfbdefbfbd2b227aefbfbd4b2203efbfbdefbfbdefbfbdefbfbdefbfbd15efbfbdefbfbd7149307670efbfbdefbfbdefbfbdefbfbd5007efbfbdc6a419efbfbdefbfbd33efbfbdefbfbdefbfbd0601efbfbdefbfbdefbfbd3befbfbde896b01111efbfbdefbfbdefbfbd24efbfbd5fefbfbd126e53efbfbdefbfbdefbfbd28efbfbd0b34efbfbdefbfbd5c1358efbfbd313727efbfbdefbfbdefbfbdefbfbd36efbfbdefbfbd72efbfbd2e00d895efbfbd43efbfbd67efbfbd7e5cefbfbd0622efbfbdefbfbd757f2eefbfbdccb5efbfbdefbfbd251cefbfbd6018efbfbd61216618efbfbd39efbfbdefbfbdefbfbd04efbfbd59efbfbd5eefbfbd077932efbfbdefbfbdefbfbdefbfbdefbfbdcf80efbfbd0022cfab3b635fefbfbddabcefbfbdd6ae7defbfbd0400efbfbd0a6658efbfbdefbfbd014b61efbfbd7e134aefbfbd0e001408e190b16b38efbfbdefbfbd03efbfbd757cefbfbd2b46efbfbdefbfbd6c4defbfbdc5be46534e03efbfbd5965efbfbd44efbfbd2cefbfbdefbfbdefbfbdefbfbd27efbfbdefbfbdefbfbd35efbfbd64120e4d30efbfbd10efbfbdefbfbd0befbfbdefbfbd05020f024a52665478637fefbfbd59efbfbd03efbfbd04efbfbd0051efbfbd6b2705efbfbdefbfbdefbfbd085eefbfbd76efbfbdefbfbdefbfbd7cefbfbd6befbfbd61216606efbfbd08efbfbdefbfbd57efbfbdc4af43efbfbdefbfbd7529efbfbd1fefbfbd00efbfbdefbfbd6f7f04efbfbd295f3322122972391cefbfbd15efbfbdefbfbdefbfbdc7b5cfb01033efbfbdefbfbdefbfbdefbfbdefbfbd7eefbfbd786eefbfbd0c514defbfbd3c6fefbfbdefbfbdefbfbd102927efbfbdefbfbd23efbfbd5aefbfbd78efbfbdefbfbd2befbfbd19cbadefbfbdefbfbd041c2366efbfbd455eefbfbdd789522cefbfbdefbfbdefbfbd225a07efbfbdefbfbdefbfbdefbfbd1d163210efbfbd57efbfbd1047
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,60889,,0,122,17,11866,84.54.22.33,10.1.10.53,53,53,64,65066,1532199335.028202,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1045,1,,0,64,17,21138,10.1.10.53,84.54.22.33,53,53,1025,5707,1532199336.021501,1059,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,989,77efbfbd20efbfbd0252efbfbd1900efbfbd5e7fefbfbdc3b4efbfbd16efbfbd01201cefbfbdefbfbdefbfbd14efbfbd375041efbfbdefbfbd75efbfbd0001efbfbd41efbfbd1b10302726efbfbd41efbfbd4eefbfbd5f00efbfbd6c6e0d0c0b31efbfbd2f38efbfbdefbfbd1d47efbfbdefbfbdefbfbdefbfbd1b5fefbfbdefbfbdefbfbd29efbfbdefbfbdefbfbdefbfbd4139efbfbdefbfbdefbfbdefbfbd04efbfbd34efbfbd6300efbfbdefbfbdefbfbdefbfbdefbfbdefbfbdd0be152befbfbd04efbfbd5cefbfbd377e17efbfbd7f04efbfbdefbfbd56efbfbdefbfbd6b406c4d0b1aefbfbdefbfbdefbfbdefbfbdcd9e3477d1a84defbfbddfb7efbfbd5b04c3a109efbfbdefbfbd5d7a495f22efbfbd0ed3b9efbfbd4defbfbd2defbfbd3eefbfbdefbfbd07efbfbd13d181efbfbdc790efbfbd4cefbfbdefbfbdefbfbdefbfbd7307efbfbd40017775efbfbdda89efbfbd127e3c10efbfbd08efbfbd4f1d061eefbfbd202befbfbdefbfbd1631efbfbd42efbfbdefbfbdefbfbd12efbfbdefbfbd3b3fefbfbd5befbfbdefbfbdefbfbdefbfbd62115cefbfbdefbfbd0552efbfbdefbfbdefbfbdefbfbd2fefbfbdefbfbd17efbfbdefbfbd35efbfbd63efbfbd2f5068efbfbdefbfbd044576efbfbd51265442efbfbd2d13efbfbdefbfbdefbfbdefbfbdefbfbdefbfbdefbfbd1033efbfbd0d3515efbfbd73efbfbd29efbfbd10e29c9957efbfbd13efbfbdefbfbd3a22efbfbd13283eefbfbd61efbfbd304335c992efbfbd1342efbfbd79784238efbfbd66191662efbfbd78efbfbd2cefbfbd7aefbfbdefbfbd51efbfbdefbfbdefbfbdefbfbdefbfbd66efbfbdefbfbdefbfbd64efbfbdefbfbd59efbfbd2eefbfbd10395fefbfbd0a34efbfbd57efbfbd7a181662e6a4a0efbfbdc2b8efbfbdefbfbdefbfbd6eefbfbdefbfbd3a1defbfbdefbfbdefbfbdefbfbd572c1ad19befbfbd1cdf91efbfbd6defbfbdefbfbd2f36efbfbdefbfbdefbfbddeac7aefbfbdefbfbdefbfbdefbfbd0c0b3173efbfbd58efbfbd26efbfbdefbfbd6263efbfbdefbfbd2aefbfbdefbfbd6cefbfbd73efbfbdefbfbd57efbfbdefbfbdefbfbd38697e51efbfbd75efbfbdefbfbd03765c78efbfbdefbfbdefbfbd57efbfbdefbfbdefbfbd72efbfbd30efbfbd094f5f63efbfbdefbfbd5aefbfbdefbfbd37efbfbd7d4befbfbdefbfbd50efbfbd1f62efbfbd18efbfbdefbfbdefbfbdefbfbdefbfbd677eefbfbd79efbfbd0a7defbfbd56efbfbd5703efbfbd40efbfbd37efbfbdefbfbd7aefbfbdefbfbdefbfbd33efbfbd6eefbfbd10723a29efbfbd211cefbfbdefbfbdefbfbdefbfbd07efbfbd5cefbfbd11efbfbdefbfbdefbfbd3929efbfbdefbfbd2f7b60
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,61243,,0,122,17,11512,84.54.22.33,10.1.10.53,53,53,64,65067,1532199336.040822,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1008,1,,0,64,17,21175,10.1.10.53,84.54.22.33,53,53,988,31270,1532199337.041202,1022,Ether / IP / UDP / DNS Qry b'google.com.' / Raw,952,5651efbfbdefbfbdefbfbdefbfbdefbfbdefbfbdefbfbd472d55efbfbd7cefbfbd70efbfbdefbfbd605e0befbfbdefbfbdefbfbd29efbfbd1a41efbfbd223aefbfbdefbfbdefbfbd01efbfbdefbfbdefbfbd4922efbfbdefbfbd2f06014305efbfbd701270efbfbd00efbfbd0500efbfbdd0814eefbfbd083051674b78d781efbfbd70efbfbd07efbfbdefbfbd7befbfbd6befbfbd6121664e5ecbb8efbfbdefbfbd4733efbfbd253b1cefbfbd7c22360950efbfbd60efbfbd2defbfbdefbfbd2d116603efbfbd4d32efbfbd116cefbfbd36d6a5213befbfbdefbfbd5aefbfbdefbfbdefbfbd7befbfbdefbfbd76efbfbd664740efbfbdefbfbdefbfbdefbfbdefbfbdefbfbd2fefbfbd5006222defbfbd1aefbfbdefbfbd311c2366efbfbd293f6a43efbfbdefbfbd3b2eefbfbd48efbfbdefbfbdefbfbdefbfbd3fefbfbdefbfbdefbfbdefbfbd29efbfbdefbfbd49e1ac89752fefbfbd3a25efbfbdefbfbdefbfbd2c754d70efbfbd311c02e98bb0190aefbfbd44efbfbd10efbfbd06d3a2efbfbdefbfbd35302cefbfbd4cefbfbd70685fefbfbd6fdaa7efbfbd45efbfbdefbfbd2cefbfbdefbfbd1e6befbfbd5fefbfbdefbfbd55efbfbd5f7aefbfbd695aefbfbd10efbfbdefbfbd5defbfbdefbfbdefbfbd74efbfbd00efbfbdefbfbdefbfbd43efbfbdefbfbdefbfbd5657efbfbdefbfbdefbfbdefbfbd71ea9fbeefbfbdefbfbd52664defbfbd3d2befbfbdefbfbd56efbfbdefbfbdefbfbd456e0d0c0b31efbfbd2f6c7ee18183efbfbd1defbfbd0cefbfbdefbfbdd98dcda15135efbfbdefbfbd4fefbfbdefbfbdefbfbd35efbfbdefbfbdefbfbd07efbfbdefbfbdefbfbdefbfbd2138efbfbd5474efbfbd227aefbfbd081aefbfbd175e5044efbfbdefbfbd08efbfbdefbfbd5245efbfbdefbfbdefbfbd0eefbfbdefbfbd336aefbfbd3476efbfbdefbfbd1aefbfbdefbfbdefbfbd05efbfbdefbfbdefbfbd0befbfbdefbfbd205861efbfbdefbfbdefbfbd6402efbfbd1133efbfbd67efbfbd61efbfbd01efbfbdefbfbdefbfbd61efbfbd561befbfbd00efbfbdefbfbd1f1873d19d3963efbfbdefbfbd470b2d797befbfbd0eefbfbdefbfbdefbfbd7f705b6fefbfbdefbfbdefbfbd0adea1efbfbd6121664e3276efbfbdefbfbdefbfbd5d001f7049301cefbfbd6018efbfbd6158efbfbd19efbfbd6158efbfbd19efbfbd61181662efbfbd61181662efbfbd6118efbfbdefbfbdefbfbd6118efbfbdefbfbdefbfbd6118efbfbd61216618efbfbd61216618efbfbd6158efbfbd19efbfbd6158efbfbd19efbfbd61181662efbfbd61181662efbfbd61
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,62210,,0,122,17,10545,84.54.22.33,10.1.10.53,53,53,64,65068,1532199337.052999,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e,0,
